0	0	1
0.1	0.101366	1.01366
0.2	0.203101	1.01735
0.3	0.304234	1.01133
0.4	0.403838	0.996041
0.5	0.501048	0.972103
0.6	0.595076	0.940275
0.7	0.685217	0.901416
0.8	0.770862	0.856449
0.9	0.851494	0.806317
1	0.926689	0.751948
1.1	0.996111	0.694227
1.2	1.05951	0.63397
1.3	1.1167	0.571911
1.4	1.16757	0.50869
1.5	1.21205	0.444857
1.6	1.25014	0.380868
1.7	1.28185	0.317097
1.8	1.30723	0.25384
1.9	1.32637	0.191331
2	1.33934	0.129751
2.1	1.34627	0.0692402
2.2	1.34726	0.00991158
2.3	1.34244	-0.0481402
2.4	1.33196	-0.104827
2.5	1.31596	-0.160056
2.6	1.29458	-0.213726
2.7	1.26801	-0.265712
2.8	1.23643	-0.315868
2.9	1.20002	-0.364015
3	1.15903	-0.409941
3.1	1.11369	-0.453401
3.2	1.06428	-0.494114
3.3	1.0111	-0.531772
3.4	0.954497	-0.566037
3.5	0.894841	-0.596557
3.6	0.832544	-0.62297
3.7	0.768052	-0.64492
3.8	0.701846	-0.662066
3.9	0.634436	-0.674102
4	0.566359	-0.680764
4.1	0.498174	-0.681851
4.2	0.430451	-0.677232
4.3	0.363765	-0.666856
4.4	0.298689	-0.65076
4.5	0.235783	-0.629068
4.6	0.175583	-0.601995
4.7	0.118599	-0.569838
4.8	0.0653024	-0.532969
4.9	0.0161198	-0.491826
5	-0.0285706	-0.446904
5.1	-0.0684444	-0.398737
5.2	-0.103234	-0.347892
5.3	-0.132729	-0.294952
5.4	-0.15678	-0.240511
5.5	-0.175296	-0.185161
5.6	-0.188245	-0.12949
5.7	-0.195652	-0.0740688
5.8	-0.197597	-0.0194536
5.9	-0.194215	0.0338222
6	-0.18569	0.0852495
6.1	-0.172255	0.134347
6.2	-0.154189	0.180663
6.3	-0.131811	0.22378
6.4	-0.105479	0.263318
6.5	-0.0755857	0.298935
6.6	-0.0425521	0.330336
6.7	-0.00682488	0.357272
6.8	0.0311299	0.379548
6.9	0.070832	0.397021
7	0.111793	0.409606
7.1	0.15352	0.417277
7.2	0.195527	0.420063
7.3	0.237332	0.41805
7.4	0.27847	0.41138
7.5	0.318493	0.400239
7.6	0.356979	0.384859
7.7	0.39353	0.365511
7.8	0.42778	0.342493
7.9	0.459393	0.316133
8	0.48807	0.286771
8.1	0.513546	0.254763
8.2	0.535594	0.220472
8.3	0.55402	0.18426
8.4	0.568669	0.146491
8.5	0.579421	0.107526
8.6	0.586193	0.0677162
8.7	0.588934	0.0274111
8.8	0.587629	-0.0130492
8.9	0.582296	-0.0533312
9	0.572985	-0.0931083
9.1	0.559779	-0.132061
9.2	0.542791	-0.169876
9.3	0.522166	-0.20625
9.4	0.498078	-0.240886
9.5	0.470728	-0.273497
9.6	0.440347	-0.30381
9.7	0.40719	-0.331568
9.8	0.371537	-0.356531
9.9	0.333689	-0.378481
10	0.293966	-0.397229
10.1	0.252705	-0.412615
10.2	0.210253	-0.424513
10.3	0.16697	-0.432837
10.4	0.123216	-0.437539
10.5	0.0793541	-0.438617
10.6	0.0357432	-0.436108
10.7	-0.00726638	-0.430096
10.8	-0.0493368	-0.420704
10.9	-0.0901462	-0.408094
11	-0.129393	-0.392466
11.1	-0.166798	-0.374049
11.2	-0.202107	-0.353098
11.3	-0.235097	-0.329893
11.4	-0.265569	-0.304726
11.5	-0.29336	-0.277905
11.6	-0.318334	-0.249739
11.7	-0.340388	-0.220545
11.8	-0.359451	-0.190633
11.9	-0.375483	-0.160311
12	-0.38847	-0.129879
12.1	-0.398433	-0.0996255
12.2	-0.405416	-0.0698285
12.3	-0.409491	-0.0407518
12.4	-0.410756	-0.0126447
12.5	-0.40933	0.014259
12.6	-0.405355	0.0397419
12.7	-0.398995	0.063604
12.8	-0.390429	0.0856631
12.9	-0.379853	0.105756
13	-0.367479	0.12374
13.1	-0.35353	0.13949
13.2	-0.338239	0.152907
13.3	-0.321848	0.16391
13.4	-0.304604	0.172444
13.5	-0.286756	0.178476
13.6	-0.268557	0.181998
13.7	-0.250254	0.183024
13.8	-0.232095	0.181595
13.9	-0.214317	0.177776
14	-0.197152	0.171651
14.1	-0.180819	0.163332
14.2	-0.165524	0.152947
14.3	-0.15146	0.140645
14.4	-0.1388	0.126592
14.5	-0.127703	0.110972
14.6	-0.118305	0.0939771
14.7	-0.110724	0.0758147
14.8	-0.105054	0.0566984
14.9	-0.101369	0.0368482
15	-0.0997206	0.0164876
15.1	-0.100136	-0.00415867
15.2	-0.102623	-0.0248675
15.3	-0.107165	-0.0454193
15.4	-0.113725	-0.0656003
15.5	-0.122246	-0.085205
15.6	-0.132649	-0.104038
15.7	-0.144841	-0.121915
15.8	-0.158708	-0.138668
15.9	-0.174122	-0.154141
16	-0.190942	-0.168198
16.1	-0.209014	-0.180719
16.2	-0.228174	-0.191603
16.3	-0.248251	-0.20077
16.4	-0.269067	-0.20816
16.5	-0.29044	-0.213733
16.6	-0.312187	-0.217467
16.7	-0.334123	-0.219364
16.8	-0.356067	-0.219441
16.9	-0.377841	-0.217735
17	-0.399271	-0.214299
17.1	-0.420191	-0.209203
17.2	-0.440444	-0.202528
17.3	-0.459881	-0.194368
17.4	-0.478364	-0.184829
17.5	-0.495766	-0.174025
17.6	-0.511974	-0.162075
